Time (s),Altitude (m),TAS (m/s),Fuel Remaining (kg)
321.0999999999973,9898.335361763315,264.1955499420031,20071.632737821736
321.1999999999973,9901.745850348876,264.2524498062492,20071.349582419363
321.29999999999734,9905.15583624619,264.30938644995365,20071.066449481197
321.39999999999736,9908.565302627758,264.36319375377064,20070.783341503786
321.4999999999974,9911.974234820143,264.42020202661854,20070.50025848768
321.5999999999974,9915.382646056056,264.47407705111135,20070.217200433424
321.69999999999743,9918.790551517526,264.5311571034171,20069.93416484531
321.79999999999745,9922.197920459403,264.5882741295474,20069.65115422009
321.8999999999975,9925.60476624782,264.64225197327806,20069.36816855832
321.9999999999975,9929.011103908144,264.69944100732727,20069.08520536413
322.0999999999975,9932.416916957089,264.7534869299919,20068.80226713443
322.19999999999754,9935.822190393103,264.8107481233889,20068.51935386978
322.29999999999757,9939.226937759368,264.8648622682142,20068.236465570724
322.3999999999976,9942.631173873428,264.92219577283413,20067.953599741177
322.4999999999976,9946.034882449672,264.97637828346905,20067.670758878274
322.59999999999764,9949.438048298101,265.0337842516349,20067.387942982565
322.69999999999766,9952.840715038143,265.0880352721522,20067.105149557803
322.7999999999977,9956.24283748225,265.1455138566366,20066.822381101283
322.8999999999977,9959.644429441725,265.19983353153435,20066.539637613554
322.9999999999977,9963.045505419217,265.2573848855613,20066.25691659821
323.09999999999775,9966.446049428618,265.31177335976474,20065.974220552707
323.1999999999978,9969.84604599452,265.3693976370111,20065.691549477597
323.2999999999978,9973.245538975663,265.42385505587407,20065.408900876308
323.3999999999978,9976.644482928714,265.4815524104715,20065.126277246458
323.49999999999784,9980.042891935944,265.53607891977816,20064.8436785886
323.59999999999786,9983.440795125447,265.59063904003074,20064.561102406005
323.6999999999979,9986.838146926282,265.64844525228125,20064.27855119645
323.7999999999979,9990.234961555878,265.7030746803692,20063.99602496049
323.89999999999793,9993.631253039735,265.76095435507943,20063.71352120123
323.99999999999795,9997.027005845523,265.8156532378635,20063.43104241661
324.099999999998,10000.422219243099,265.87038590890586,20063.148588607182
324.199999999998,10003.816907098313,265.9283750155409,20062.866157275897
324.299999999998,10007.211054030653,265.98317736027843,20062.583750920854
324.39999999999804,10010.604659306186,266.0380135998797,20062.301369542605
324.49999999999807,10013.997736630237,266.09611248370936,20062.01901064394
